name,filter_object,graphql_object,llm_result,consortium
4N 12 months and older,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""INRG""]}, ""year_at_disease_phase"": {""__type"": ""RANGE"", ""lowerBound"": 2002, ""upperBound"": 2023}, ""disease_phase:Initial Diagnosis"": {""value"": {""stagings.stage"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Stage M""]}, ""stagings.stage_system"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""INRGSS""]}, ""tumor_assessments.tumor_site"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Lymph Nodes""]}, ""tumor_assessments.tumor_state"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Present""]}, ""tumor_assessments.tumor_classification"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Metastatic""]}}, ""__type"": ""ANCHORED""}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""AND"": [{""GTE"": {""year_at_disease_phase"": 2002}}, {""LTE"": {""year_at_disease_phase"": 2023}}]}, {""nested"": {""AND"": [{""AND"": [{""IN"": {""disease_phase"": [""Initial Diagnosis""]}}, {""AND"": [{""IN"": {""stage"": [""Stage M""]}}, {""IN"": {""stage_system"": [""INRGSS""]}}]}]}], ""path"": ""stagings""}}, {""nested"": {""AND"": [{""AND"": [{""IN"": {""disease_phase"": [""Initial Diagnosis""]}}, {""AND"": [{""IN"": {""tumor_classification"": [""Metastatic""]}}, {""IN"": {""tumor_site"": [""Lymph Nodes""]}}, {""IN"": {""tumor_state"": [""Present""]}}]}]}], ""path"": ""tumor_assessments""}}]}","The cohort consists of patients who are part of the INRG consortium and were diagnosed between the years 2002 and 2023. At the initial diagnosis phase, these patients were classified as having Stage M disease according to the INRGSS staging system. Additionally, they had metastatic tumors present in the lymph nodes.",INRG
2003-2023 Nodal mets present,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""INRG""]}, ""year_at_disease_phase"": {""__type"": ""RANGE"", ""lowerBound"": 2003, ""upperBound"": 2023}, ""disease_phase:Initial Diagnosis"": {""value"": {""tumor_assessments.tumor_site"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Lymph Nodes""]}, ""tumor_assessments.tumor_state"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Present""]}, ""tumor_assessments.tumor_classification"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Metastatic""]}}, ""__type"": ""ANCHORED""}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""AND"": [{""GTE"": {""year_at_disease_phase"": 2003}}, {""LTE"": {""year_at_disease_phase"": 2023}}]}, {""nested"": {""AND"": [{""AND"": [{""IN"": {""disease_phase"": [""Initial Diagnosis""]}}, {""AND"": [{""IN"": {""tumor_classification"": [""Metastatic""]}}, {""IN"": {""tumor_site"": [""Lymph Nodes""]}}, {""IN"": {""tumor_state"": [""Present""]}}]}]}], ""path"": ""tumor_assessments""}}]}","The cohort consists of patients who are part of the INRG consortium and were diagnosed between the years 2003 and 2023. At the initial diagnosis phase, these patients had metastatic tumors that were present in the lymph nodes.",INRG
Lucas-Sc-set,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INRG""]}, ""stagings.stage"": {""__type"": ""OPTION"", ""selectedValues"": [""Stage M""]}, ""stagings.stage_system"": {""__type"": ""OPTION"", ""selectedValues"": [""INRGSS""]}, ""tumor_assessments.age_at_tumor_assessment"": {""__type"": ""RANGE"", ""lowerBound"": 458, ""upperBound"": 10983}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""nested"": {""AND"": [{""IN"": {""stage"": [""Stage M""]}}, {""IN"": {""stage_system"": [""INRGSS""]}}], ""path"": ""stagings""}}, {""nested"": {""AND"": [{""AND"": [{""GTE"": {""age_at_tumor_assessment"": 458}}, {""LTE"": {""age_at_tumor_assessment"": 10983}}]}], ""path"": ""tumor_assessments""}}]}","The cohort consists of individuals who are part of the INRG consortium. These individuals have been classified under Stage M according to the INRGSS staging system. Additionally, the age at tumor assessment for these individuals ranges from 458 days to 10,983 days.",INRG
"L2, 11q normal","{""value"": {""consortium"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""INRG""]}, ""stagings.stage"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Stage L2""]}, ""stagings.stage_system"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""INRGSS""]}, ""year_at_disease_phase"": {""__type"": ""RANGE"", ""lowerBound"": 2003, ""upperBound"": 2023}, ""molecular_analysis.molecular_abnormality"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""11q deletion""]}, ""molecular_analysis.molecular_abnormality_result"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Absent""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""AND"": [{""GTE"": {""year_at_disease_phase"": 2003}}, {""LTE"": {""year_at_disease_phase"": 2023}}]}, {""nested"": {""AND"": [{""IN"": {""stage_system"": [""INRGSS""]}}, {""IN"": {""stage"": [""Stage L2""]}}], ""path"": ""stagings""}}, {""nested"": {""AND"": [{""IN"": {""molecular_abnormality"": [""11q deletion""]}}, {""IN"": {""molecular_abnormality_result"": [""Absent""]}}], ""path"": ""molecular_analysis""}}]}","The cohort consists of individuals who are part of the INRG consortium and have been diagnosed between the years 2003 and 2023. These individuals are classified under the INRGSS staging system as Stage L2. Additionally, they have undergone molecular analysis which shows the absence of the 11q deletion abnormality.",INRG
1,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""INRG""]}, ""stagings.stage"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Stage 2b"", ""Stage 2a"", ""Stage 1""]}, ""stagings.stage_system"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""INSS""]}, ""year_at_disease_phase"": {""__type"": ""RANGE"", ""lowerBound"": 2003, ""upperBound"": 2023}, ""molecular_analysis.molecular_abnormality"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""11q deletion""]}, ""molecular_analysis.molecular_abnormality_result"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Present"", ""Absent""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""AND"": [{""GTE"": {""year_at_disease_phase"": 2003}}, {""LTE"": {""year_at_disease_phase"": 2023}}]}, {""nested"": {""AND"": [{""IN"": {""stage_system"": [""INSS""]}}, {""IN"": {""stage"": [""Stage 2b"", ""Stage 2a"", ""Stage 1""]}}], ""path"": ""stagings""}}, {""nested"": {""AND"": [{""IN"": {""molecular_abnormality"": [""11q deletion""]}}, {""IN"": {""molecular_abnormality_result"": [""Present"", ""Absent""]}}], ""path"": ""molecular_analysis""}}]}","The cohort consists of individuals who are part of the INRG consortium. These individuals have been diagnosed with cancer stages 1, 2a, or 2b according to the INSS staging system. The diagnosis occurred between the years 2003 and 2023. Additionally, the molecular analysis of these individuals shows the presence or absence of the 11q deletion abnormality.",INRG
grp1,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INRG""]}, ""stagings.stage"": {""__type"": ""OPTION"", ""selectedValues"": [""Stage L1""]}, ""stagings.stage_system"": {""__type"": ""OPTION"", ""selectedValues"": [""INRGSS""]}, ""molecular_analysis.molecular_abnormality"": {""__type"": ""OPTION"", ""selectedValues"": [""MYCN Amplification""]}, ""molecular_analysis.molecular_abnormality_result"": {""__type"": ""OPTION"", ""selectedValues"": [""Present""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""nested"": {""AND"": [{""IN"": {""stage_system"": [""INRGSS""]}}, {""IN"": {""stage"": [""Stage L1""]}}], ""path"": ""stagings""}}, {""nested"": {""AND"": [{""IN"": {""molecular_abnormality"": [""MYCN Amplification""]}}, {""IN"": {""molecular_abnormality_result"": [""Present""]}}], ""path"": ""molecular_analysis""}}]}","The cohort consists of individuals who are part of the INRG consortium. These individuals have been staged using the INRGSS system and are classified as Stage L1. Additionally, they exhibit a molecular abnormality characterized by MYCN amplification, which is confirmed to be present.",INRG
1p_<5yrs,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""INRG""]}, ""histologies.histology"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Neuroblastoma (Schwannian Stroma-Poor)""]}, ""molecular_analysis.molecular_abnormality"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""1p deletion""]}, ""tumor_assessments.age_at_tumor_assessment"": {""__type"": ""RANGE"", ""lowerBound"": 0, ""upperBound"": 1825}, ""molecular_analysis.molecular_abnormality_result"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Present""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""nested"": {""AND"": [{""AND"": [{""GTE"": {""age_at_tumor_assessment"": 0}}, {""LTE"": {""age_at_tumor_assessment"": 1825}}]}], ""path"": ""tumor_assessments""}}, {""nested"": {""AND"": [{""IN"": {""histology"": [""Neuroblastoma (Schwannian Stroma-Poor)""]}}], ""path"": ""histologies""}}, {""nested"": {""AND"": [{""IN"": {""molecular_abnormality"": [""1p deletion""]}}, {""IN"": {""molecular_abnormality_result"": [""Present""]}}], ""path"": ""molecular_analysis""}}]}","The cohort consists of individuals who are part of the INRG consortium and have been diagnosed with Neuroblastoma (Schwannian Stroma-Poor). These individuals exhibit a 1p deletion molecular abnormality, which is confirmed to be present. Additionally, the age at tumor assessment for these individuals ranges from 0 to 1825 days.",INRG
lymph nodes absent,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""INRG""]}, ""stagings.stage"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Stage 4"", ""Stage M""]}, ""year_at_disease_phase"": {""__type"": ""RANGE"", ""lowerBound"": 2010, ""upperBound"": 2023}, ""tumor_assessments.tumor_site"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Lymph Nodes""]}, ""tumor_assessments.tumor_state"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Absent""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""AND"": [{""GTE"": {""year_at_disease_phase"": 2010}}, {""LTE"": {""year_at_disease_phase"": 2023}}]}, {""nested"": {""AND"": [{""IN"": {""stage"": [""Stage 4"", ""Stage M""]}}], ""path"": ""stagings""}}, {""nested"": {""AND"": [{""IN"": {""tumor_site"": [""Lymph Nodes""]}}, {""IN"": {""tumor_state"": [""Absent""]}}], ""path"": ""tumor_assessments""}}]}","The cohort consists of individuals who are part of the INRG consortium. These individuals were diagnosed between the years 2010 and 2023. They have been staged as either Stage 4 or Stage M. Additionally, their tumor assessments indicate that the tumor site is the lymph nodes, and the tumor state is absent.",INRG
Metastatic Neuroblastoma 2,"{""value"": {""sex"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Female"", ""Male""]}, ""consortium"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""INRG""]}, ""disease_phase:Initial Diagnosis"": {""value"": {""stagings.stage"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Stage M"", ""Stage MS""]}, ""histologies.histology"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Neuroblastoma (Schwannian Stroma-Poor)""]}, ""stagings.stage_system"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""INRGSS""]}, ""histologies.histology_grade"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Differentiating"", ""Undifferentiated or Poorly Differentiated""]}, ""tumor_assessments.tumor_classification"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Primary""]}}, ""__type"": ""ANCHORED""}, ""survival_characteristics.lkss_obfuscated"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Known""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""IN"": {""sex"": [""Female"", ""Male""]}}, {""nested"": {""AND"": [{""AND"": [{""IN"": {""disease_phase"": [""Initial Diagnosis""]}}, {""AND"": [{""IN"": {""histology"": [""Neuroblastoma (Schwannian Stroma-Poor)""]}}, {""IN"": {""histology_grade"": [""Differentiating"", ""Undifferentiated or Poorly Differentiated""]}}]}]}], ""path"": ""histologies""}}, {""nested"": {""AND"": [{""AND"": [{""IN"": {""disease_phase"": [""Initial Diagnosis""]}}, {""AND"": [{""IN"": {""stage_system"": [""INRGSS""]}}, {""IN"": {""stage"": [""Stage M"", ""Stage MS""]}}]}]}], ""path"": ""stagings""}}, {""nested"": {""AND"": [{""AND"": [{""IN"": {""disease_phase"": [""Initial Diagnosis""]}}, {""AND"": [{""IN"": {""tumor_classification"": [""Primary""]}}]}]}], ""path"": ""tumor_assessments""}}, {""nested"": {""AND"": [{""IN"": {""lkss_obfuscated"": [""Known""]}}], ""path"": ""survival_characteristics""}}]}","The cohort consists of individuals from the INRG consortium, including both females and males. Participants are at the initial diagnosis phase and have been diagnosed with Neuroblastoma (Schwannian Stroma-Poor). Their histology grades are either Differentiating or Undifferentiated/Poorly Differentiated. The staging system used is INRGSS, and they are classified as either Stage M or Stage MS. The tumor classification is Primary, and their survival characteristics are known.",INRG
INRG 2024-03,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""INRG""]}, ""stagings.stage"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Stage 4"", ""Stage 4s"", ""Stage IV"", ""Stage IVs"", ""Stage M"", ""Stage MS""]}, ""year_at_disease_phase"": {""__type"": ""RANGE"", ""lowerBound"": 2000, ""upperBound"": 2023}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""AND"": [{""GTE"": {""year_at_disease_phase"": 2000}}, {""LTE"": {""year_at_disease_phase"": 2023}}]}, {""nested"": {""AND"": [{""IN"": {""stage"": [""Stage 4"", ""Stage 4s"", ""Stage IV"", ""Stage IVs"", ""Stage M"", ""Stage MS""]}}], ""path"": ""stagings""}}]}","The cohort consists of individuals who are part of the INRG consortium. These individuals have been diagnosed with a disease stage classified as Stage 4, Stage 4s, Stage IV, Stage IVs, Stage M, or Stage MS. Additionally, the year of diagnosis or disease phase for these individuals falls between 2000 and 2023, inclusive.",INRG
